Unnamed: 0,dataset,model,artifact_dir,repeat,seed,layer,layer_index,relative_layer_depth,probe,probe_type,probe_complexity,task_type,input_dim,hidden_layers_total,class_count,train_n,validation_n,test_n,parameters,resolved_hidden_dims,epochs_completed,best_validation_score,geometry_silhouette,geometry_pca_2d_variance,baseline_test_macro_f1,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,train_mcc,train_cohen_kappa,train_log_loss,train_log_loss_score,train_roc_auc_ovr_macro,train_average_precision_macro,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall,validation_mcc,validation_cohen_kappa,validation_log_loss,validation_log_loss_score,validation_roc_auc_ovr_macro,validation_average_precision_macro,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,test_mcc,test_cohen_kappa,test_log_loss,test_log_loss_score,test_roc_auc_ovr_macro,test_average_precision_macro,macro_f1_component,balanced_accuracy_component,mcc_component,log_loss_score_component,control_macro_f1,selectivity,selectivity_component,stability_component,geometry_component,complexity_penalty,probe_score_raw,probe_score,generalization_gap,overfit_penalty,metadata_path,train_exact_match_accuracy,train_micro_f1,train_micro_precision,train_micro_recall,train_hamming_loss,train_hamming_score,train_macro_jaccard,train_roc_auc_macro,train_labels_with_positive_support,train_labels_with_negative_support,train_labels_with_both_support,validation_exact_match_accuracy,validation_micro_f1,validation_micro_precision,validation_micro_recall,validation_hamming_loss,validation_hamming_score,validation_macro_jaccard,validation_roc_auc_macro,validation_labels_with_positive_support,validation_labels_with_negative_support,validation_labels_with_both_support,test_exact_match_accuracy,test_micro_f1,test_micro_precision,test_micro_recall,test_hamming_loss,test_hamming_score,test_macro_jaccard,test_roc_auc_macro,test_labels_with_positive_support,test_labels_with_negative_support,test_labels_with_both_support
,ISEAR,EleutherAI/gpt-neo-125m,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/EleutherAI/gpt-neo-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_094936,1.0,329184178.0,layer_8,8.0,0.6666666666666666,linear_logistic,logistic,linear,single_label,768.0,13.0,7.0,1600.0,200.0,200.0,5383.0,[],,,-0.1111941412091255,0.9943859577178956,0.0383426097711812,0.994375,0.9943163447630392,0.9945698336557914,0.994395893113274,0.9949311058756336,0.9943163447630392,0.9934519798237648,0.9934311274238112,0.0528919907386504,0.9484824518390252,0.9999678423596357,0.9996449938105264,0.5,0.4993784096308727,0.5021330536766833,0.5022639965707121,0.5113461919394952,0.4993784096308727,0.4167534713996075,0.4158025412589455,2.832389490438751,0.0588720113575336,0.8184066948452408,0.5188744881448563,0.53,0.5302411715092471,0.5388038692307383,0.5372035757324825,0.5642775769226568,0.5302411715092471,0.4524497941750761,0.4507260350016069,2.598140230347141,0.0744118384873856,0.8405603055490545,0.561899978439609,0.5388038692307383,0.5302411715092471,0.726224897087538,0.0744118384873856,,,0.0,0.9078966748069016,0.4444029293954372,0.0152743030116885,0.4436218753964029,0.4283475723847144,0.4557659644250531,0.4557659644250531,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/EleutherAI/gpt-neo-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_094936/complete_run_metadata.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,goEmo,EleutherAI/gpt-neo-125m,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/EleutherAI/gpt-neo-125m/datasets/goEmo/analysis/probes/matrix_runs/unified_v4_20260829_135913,0.0,329179192.0,layer_3,3.0,0.25,linear_logistic,logistic,linear,multi_label,768.0,13.0,28.0,400.0,50.0,50.0,21532.0,[],,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,0.002281210428719,0.9977213895543792,,1.0,,0.0833333333333333,0.0830827067669173,0.1685781618224666,0.0869565217391304,0.0833333333333333,0.2728162300880189,,0.2599861930233966,0.7710622317682656,,0.3102827429459197,,0.0869047619047619,0.1067176870748299,0.2474937343358396,0.1525297619047619,0.0869047619047619,0.3061831023667231,,0.2221087286960703,0.8008282865854432,,0.2766300675901718,0.1067176870748299,0.0869047619047619,0.6530915511833616,0.8008282865854432,0.0178271308523409,0.088890556222489,0.088890556222489,1.0,0.5,0.017739054190616,0.3605398086349681,0.3428007544443521,0.89328231292517,0.89328231292517,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/EleutherAI/gpt-neo-125m/datasets/goEmo/analysis/probes/matrix_runs/unified_v4_20260829_135913/complete_run_metadata.json,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,28.0,28.0,28.0,0.22,0.2708333333333333,0.4482758620689655,0.1940298507462686,0.05,0.95,0.0722789115646258,0.7550811304988749,21.0,28.0,21.0,0.16,0.3058823529411765,0.4642857142857143,0.2280701754385964,0.0421428571428571,0.9578571428571429,0.0741496598639455,0.7108671032159292,20.0,28.0,20.0
,ISEAR,FacebookAI/roberta-base,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/FacebookAI/roberta-base/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260830_095332,0.0,329183180.0,layer_7,7.0,0.5833333333333334,linear_logistic,logistic,linear,single_label,768.0,13.0,7.0,400.0,50.0,50.0,5383.0,[],,,-0.0098597202450037,0.24680757522583,0.0476190476190476,0.995,0.9946014769544184,0.9953701949487216,0.9950094892058012,0.9962406015037594,0.9946014769544184,0.9941698965157068,0.9941480256901672,0.0208038349108387,0.9794110719867212,0.9999648241754688,0.9996084284223498,0.38,0.3741496598639455,0.3801137459032196,0.3825114709851551,0.4285714285714286,0.3741496598639455,0.2759977284166301,0.269901083372586,2.1955831210351358,0.1112936449142109,0.7914056554057366,0.4924955753175687,0.5,0.4897959183673469,0.4918058132343846,0.4972424242424242,0.5113945578231293,0.4897959183673469,0.4129761815302687,0.4112105511069243,1.6412720528487472,0.1937334463003136,0.8376237577483424,0.5889072707238657,0.4918058132343846,0.4897959183673469,0.7064880907651343,0.1937334463003136,0.1504097707459052,0.3413960424884794,0.3982953829032259,1.0,0.4950701398774981,0.0152743030116885,0.5261799828830198,0.5109056798713313,0.5035643817143369,0.5035643817143369,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/FacebookAI/roberta-base/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260830_095332/complete_run_metadata.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,goEmo,FacebookAI/roberta-base,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/FacebookAI/roberta-base/datasets/goEmo/analysis/probes/matrix_runs/unified_v4_20260829_124122,0.0,329182183.0,layer_6,6.0,0.5,linear_logistic,logistic,linear,multi_label,768.0,13.0,28.0,400.0,50.0,50.0,21532.0,[],,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0018953713280662,0.9981064237538748,,1.0,,0.3369047619047619,0.371144147314098,0.5170514422959096,0.4897959183673469,0.3369047619047619,0.5803075381962319,,0.1777114785016945,0.8371839342096307,,0.6026794166531071,,0.3238095238095238,0.3614789196310934,0.619047453944479,0.4295454545454545,0.3238095238095238,0.677329973462313,,0.1250342159771665,0.8824667076073053,,0.5659976535928547,0.3614789196310934,0.3238095238095238,0.8386649867311565,0.8824667076073053,0.0136283469616802,0.3478505726694131,0.3478505726694131,1.0,0.5,0.017739054190616,0.5475576917834886,0.5298186375928725,0.6385210803689065,0.6385210803689065,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/FacebookAI/roberta-base/datasets/goEmo/analysis/probes/matrix_runs/unified_v4_20260829_124122/complete_run_metadata.json,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,28.0,28.0,28.0,0.44,0.5714285714285714,0.7894736842105263,0.4477611940298507,0.0321428571428571,0.9678571428571427,0.3080827067669173,0.8203420898890182,21.0,28.0,21.0,0.52,0.6736842105263158,0.8421052631578947,0.5614035087719298,0.0221428571428571,0.9778571428571428,0.3083333333333333,0.842289894044207,20.0,28.0,20.0
,ISEAR,distilbert/distilbert-base-uncased,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/distilbert/distilbert-base-uncased/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260830_094625,0.0,329177198.0,layer_1,1.0,0.1666666666666666,linear_logistic,logistic,linear,single_label,768.0,7.0,7.0,400.0,50.0,50.0,5383.0,[],,,-0.0116181233897805,0.1614632904529571,0.0476190476190476,0.995,0.9946014769544184,0.9953701949487216,0.9950094892058012,0.9962406015037594,0.9946014769544184,0.9941698965157068,0.9941480256901672,0.0244894179283564,0.9758080149340964,0.9999648241754688,0.9996084284223498,0.44,0.4342403628117913,0.4101517530088959,0.4135042735042734,0.4904143475572047,0.4342403628117913,0.3531544377044646,0.3430314406381981,2.1658946211121965,0.1146473227893534,0.7997722955181832,0.5372840317242451,0.5,0.489795918367347,0.4915372209489856,0.5051004159239454,0.5123015873015874,0.489795918367347,0.4190236878516813,0.4158878504672897,1.948090999147511,0.1425459323190829,0.8007565330571974,0.5797288578656279,0.4915372209489856,0.489795918367347,0.7095118439258407,0.1425459323190829,0.1476948348162509,0.3438423861327347,0.4011494504881904,1.0,0.4941909383051097,0.0152743030116885,0.5219744998260265,0.506700196814338,0.503832973999736,0.503832973999736,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/distilbert/distilbert-base-uncased/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260830_094625/complete_run_metadata.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,goEmo,distilbert/distilbert-base-uncased,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/distilbert/distilbert-base-uncased/datasets/goEmo/analysis/probes/matrix_runs/unified_v4_20260829_122423,0.0,329181186.0,layer_5,5.0,0.8333333333333334,linear_logistic,logistic,linear,multi_label,768.0,7.0,28.0,400.0,50.0,50.0,21532.0,[],,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0023145038947572,0.9976881725041388,,1.0,,0.0857142857142857,0.1039682539682539,0.2666666666666666,0.179421768707483,0.0857142857142857,0.3176920186014567,,0.2467694786248434,0.781320783914784,,0.3689073878854675,,0.1011904761904761,0.1137829044661342,0.2344629690167447,0.1415584415584415,0.1011904761904761,0.2864774270538268,,0.2265686397137763,0.7972646164197487,,0.3708763029261692,0.1137829044661342,0.1011904761904761,0.6432387135269134,0.7972646164197487,0.0170784695402692,0.096704434925865,0.096704434925865,1.0,0.5,0.017739054190616,0.3641774532012899,0.3464383990106738,0.8862170955338657,0.8862170955338657,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/distilbert/distilbert-base-uncased/datasets/goEmo/analysis/probes/matrix_runs/unified_v4_20260829_122423/complete_run_metadata.json,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,28.0,28.0,28.0,0.18,0.3269230769230769,0.4594594594594595,0.2537313432835821,0.05,0.95,0.0692857142857142,0.7174809599625058,21.0,28.0,21.0,0.2,0.2857142857142857,0.4444444444444444,0.2105263157894736,0.0428571428571428,0.9571428571428572,0.0906820622986036,0.7207401987944931,20.0,28.0,20.0
,ISEAR,facebook/opt-125m,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_101720,0.0,329187168.0,layer_11,11.0,0.9166666666666666,linear_logistic,logistic,linear,single_label,768.0,13.0,7.0,1600.0,200.0,200.0,5383.0,[],,,-0.1244639605283737,0.9810657501220704,0.0394088669950738,0.9925,0.9926300442436088,0.9926436387672944,0.9925707729824776,0.992886781268524,0.9926300442436088,0.9912807119586352,0.9912395530529472,0.0465772616572005,0.954490812179114,0.9999387711252228,0.9993673495495704,0.495,0.4956537303589584,0.4953681174399616,0.4954694189922574,0.4968996201754822,0.4956537303589584,0.4107476663542371,0.4104599579733831,2.348227487710472,0.0955383551315826,0.8448407678168708,0.5823806078690853,0.565,0.566536028137808,0.5689838549047302,0.5672085466978405,0.5742822231531909,0.566536028137808,0.4923132774641047,0.4918817895105712,2.43406122679746,0.0876800200774046,0.8518720622145343,0.5967103485949251,0.5689838549047302,0.566536028137808,0.7461566387320524,0.0876800200774046,,,0.0,0.9739685317983452,0.4377680197358131,0.0152743030116885,0.4672031199310273,0.4519288169193388,0.4236597838625641,0.4236597838625641,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_101720/complete_run_metadata.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,goEmo,facebook/opt-125m,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/goEmo/analysis/probes/matrix_runs/unified_v4_20260830_080552,0.0,329188165.0,layer_12,12.0,1.0,linear_logistic,logistic,linear,multi_label,768.0,13.0,28.0,400.0,50.0,50.0,21532.0,[],,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,0.001903908762093,0.9980979025225049,,1.0,,0.1125,0.104563492063492,0.2477611940298507,0.1258503401360544,0.1125,0.3498874794147587,,0.2524448405642523,0.7768990649715095,,0.325020768133437,,0.1351190476190476,0.1399470899470899,0.2678362573099415,0.1613095238095238,0.1351190476190476,0.3142621605167595,,0.2357322258321177,0.7899921851129259,,0.3150073028628479,0.1399470899470899,0.1351190476190476,0.6571310802583797,0.7899921851129259,0.0257436307856475,0.1142034591614423,0.1142034591614423,1.0,0.5,0.017739054190616,0.3806642020119677,0.3629251478213516,0.8600529100529101,0.8600529100529101,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/goEmo/analysis/probes/matrix_runs/unified_v4_20260830_080552/complete_run_metadata.json,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,28.0,28.0,28.0,0.2,0.3529411764705882,0.5142857142857142,0.2686567164179104,0.0471428571428571,0.9528571428571428,0.0833163265306122,0.7354364736451665,21.0,28.0,21.0,0.22,0.3260869565217391,0.4285714285714285,0.2631578947368421,0.0442857142857142,0.9557142857142856,0.1267468944099379,0.7684050138859018,20.0,28.0,20.0
,ISEAR,google-bert/bert-base-uncased,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/google-bert/bert-base-uncased/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260830_092014,0.0,329186171.0,layer_10,10.0,0.8333333333333334,linear_logistic,logistic,linear,single_label,768.0,13.0,7.0,400.0,50.0,50.0,5383.0,[],,,-0.0039460891857743,0.1557818055152893,0.0476190476190476,0.995,0.9946014769544184,0.9953701949487216,0.9950094892058012,0.9962406015037594,0.9946014769544184,0.9941698965157068,0.9941480256901672,0.02463199496142,0.9756688970402312,0.9999648241754688,0.9996084284223498,0.42,0.4183673469387754,0.4207875457875457,0.4212948717948718,0.4387342815914244,0.4183673469387754,0.3225117140516048,0.3208430913348946,1.9832326636387188,0.1376236265507198,0.8437441426664343,0.5622153174457984,0.54,0.5346938775510204,0.5291898577612864,0.534060606060606,0.5636054421768707,0.5346938775510204,0.4644513550811208,0.4598403006106153,1.6351354279924926,0.1949259710786105,0.8549290244639083,0.5581738338725916,0.5291898577612864,0.5346938775510204,0.7322256775405604,0.1949259710786105,0.1033515286456463,0.42583832911564,0.4968113839682467,1.0,0.4980269554071128,0.0152743030116885,0.5660916193759248,0.5508173163642363,0.4661803371874352,0.4661803371874352,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/google-bert/bert-base-uncased/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260830_092014/complete_run_metadata.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,goEmo,google-bert/bert-base-uncased,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/google-bert/bert-base-uncased/datasets/goEmo/analysis/probes/matrix_runs/unified_v4_20260829_113941,0.0,329176201.0,layer_0,0.0,0.0,linear_logistic,logistic,linear,multi_label,768.0,13.0,28.0,400.0,50.0,50.0,21532.0,[],,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0002056836330616,0.9997943375183668,,1.0,,0.75,0.75,1.0,0.75,0.75,1.0,,0.001538067278929,0.9984631149403596,,1.0,,0.6785714285714286,0.6785714285714286,0.9649122807017544,0.6785714285714286,0.6785714285714286,0.9815688803652316,,0.0028441073186732,0.9971599333229664,,1.0,0.6785714285714286,0.6785714285714286,0.9907844401826158,0.9971599333229664,0.0173941798941798,0.6611772486772487,0.6611772486772487,1.0,0.5,0.017739054190616,0.7769976805237102,0.7592586263330942,0.3214285714285714,0.3214285714285714,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/google-bert/bert-base-uncased/datasets/goEmo/analysis/probes/matrix_runs/unified_v4_20260829_113941/complete_run_metadata.json,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,28.0,28.0,28.0,1.0,1.0,1.0,1.0,0.0,1.0,0.75,1.0,21.0,28.0,21.0,0.96,0.9821428571428572,1.0,0.9649122807017544,0.0014285714285714,0.9985714285714286,0.6785714285714286,1.0,20.0,28.0,20.0
